#,1,97,2,3,4,5,98
101,Wp SWA+,20004,703,50,0,10,0
102,Wp FIA+,20004,702,50,0,10,0
103,Wp Break+,20005,601,100,0,1000,0
104,Wp Tough+,20005,603,100,0,1000,0
105,Wp Brk PhD+,20008,604,10,0,10,0
106,Wp Brk QiD+,20008,605,10,0,10,0
107,Wp FOA+,20004,701,50,0,10,0
108,Wp Weight-,20005,501,-50,0,1000,0
201,Eq EVA+,20004,50086,50,0,10,0
202,Eq PAR+,20004,50085,50,0,10,0
203,Eq Break+,20005,603,100,0,1000,21
204,Eq Tough+,20005,601,100,0,1000,22
205,Eq PhD+,20008,50081,10,0,10,14
206,Eq QiD+,20008,50082,10,0,10,13
207,Eq ABS+,20004,50084,50,0,10,15
208,Eq Weight-,20005,501,-50,0,1000,0
301,Char AGI+,20009,50063,5,0,10,17
302,Char VIT+,20009,50064,5,0,10,18
303,Char CON+,20009,50062,5,0,10,16
304,Char STR+,20009,50061,5,0,10,12
305,Char WIL+,20009,50066,5,0,10,20
306,Char COM+,20009,50065,5,0,10,6
307,EXI limit+,20005,50032,50,0,10,19
308,INI limit+,20005,50033,50,0,10,0
401,Turn Fierce to,20008,71,0,1,0,0
402,Turn Depressed to,20006,72,0,1,0,1
403,Turn Cold to,20005,73,0,1,0,2
404,Turn Heat to,20010,74,0,1,0,3
405,Turn Corrupt to,20004,75,0,1,0,4
406,Turn Psychedelic to,20007,76,0,1,0,5
501,Less Fierce,20008,61,0,1,0,0
502,Less Depressed,20006,62,0,1,0,1
503,Less Cold,20005,63,0,1,0,2
504,Less Heat,20010,64,0,1,0,3
505,Less Corrupt,20004,65,0,1,0,4
506,Less Psychedelic,20007,66,0,1,0,5
